College,City,Role,Previous CTC,Previous job change,Graduation Marks,EXP (Month),CTC
"Dayanand College of Engineering, Bangalore",Ahmedabad,Executive,53523.00,1,61,64,75104.22
DTU,Kolhapur,Executive,54533.00,1,68,62,94600.05
IIIT Jabalpur,Rajpur Sonarpur,Manager,41686.00,2,52,27,71243.97
DAIICT,Surat,Manager,52894.00,2,43,55,101285.30
BIT Mesra,Surat,Executive,54634.00,2,76,55,78275.87
IGDTUW,Ahmedabad,Executive,71502.00,4,49,35,74600.09
IIIT Allahabad,Kolhapur,Executive,49626.00,3,59,44,72344.51
BIT Mesra,Chennai,Executive,64324.00,4,74,19,71994.50
Jadavpur University,Pune,Executive,62778.00,1,51,58,77589.36
BITS Pilani (Hyderabad Campus),Kolhapur,Executive,52970.00,1,49,50,90017.28
NIT Warangal,Kolhapur,Executive,45893.00,4,75,26,65271.68
"KIIT, Bhubaneswar",Pune,Executive,50488.00,2,59,24,66640.89
NIT Surathkal (Karnataka),Ahmedabad,Executive,60137.00,4,65,48,89189.31
IIITM Gwalior,Rourkela,Executive,57816.00,4,66,19,59189.52
IIT Roorkee,Kozhikode,Executive,51943.00,1,62,48,69695.94
NIT Kurukshetra,Surat,Executive,59544.00,3,51,49,70404.00
IIT Roorkee,Chennai,Executive,61499.00,2,76,46,64944.99
DTU,Delhi,Executive,41294.00,1,39,46,71733.25
Amity University,Delhi,Executive,58538.00,1,75,43,76807.18
NIT Warangal,Ajmer,Executive,57406.00,2,61,21,84235.74
Amity University,Asansol,Executive,50528.00,1,68,64,74927.63
NIT Surathkal (Karnataka),Asansol,Executive,61700.00,4,36,18,66204.58
SRM Main Campus,Pune,Executive,47270.00,1,51,51,68331.12
IIIT Allahabad,Pune,Executive,69065.00,1,76,47,80932.58
NIT Rourkela,Ahmedabad,Executive,60257.00,4,39,64,82519.16
IIT Kanpur,Kolhapur,Executive,61079.00,1,79,49,77040.51
NSUT Delhi (NSIT),Chennai,Executive,42108.00,3,49,31,72612.42
"Cummins College of Engineering for Women, Pune",Kozhikode,Executive,63977.00,4,63,52,84692.16
NSUT Delhi (NSIT),Pune,Executive,45174.00,3,61,33,65377.42
"Cummins College of Engineering for Women, Pune",Kolhapur,Executive,52699.00,3,69,47,69660.75
"USIT, Delhi",Kozhikode,Executive,42512.00,2,80,38,69717.83
NIT Calicut,Surat,Executive,55176.00,3,75,32,57008.66
IIT Roorkee,Kolhapur,Executive,38605.00,1,38,19,69365.78
IIT Kanpur,Chennai,Manager,46677.00,1,39,44,77774.74
"Jaypee, Noida",Chennai,Manager,45778.00,1,71,26,79016.85
"IEM, Kolkata",Kolhapur,Executive,43939.00,2,39,25,74387.54
"MAIT, Delhi",Rourkela,Executive,56398.00,4,57,19,68191.78
"IEM, Kolkata",Kolhapur,Executive,55835.00,2,42,43,60230.16
Amity University,Chennai,Executive,63076.00,2,76,52,73796.54
Amity University,Kozhikode,Manager,42990.00,4,69,36,72310.20
IIIT Lucknow,Delhi,Executive,65196.00,4,57,64,81015.32
"Cummins College of Engineering for Women, Pune",Hyderabad,Manager,52971.00,3,38,63,81697.60
NIT Bhopal,Chennai,Manager,59430.00,4,54,64,104243.15
"Techno India, Kolkata",Surat,Manager,60711.00,1,65,61,101556.34
NIT Silchar,Asansol,Manager,55375.00,1,68,40,106794.93
IIT Madras,Chennai,Executive,52454.00,4,73,25,71600.02
DAIICT,Chennai,Executive,58185.00,3,83,48,81949.56
IIT Guwahati,Kolhapur,Executive,47925.00,1,36,45,73749.23
NIT Kurukshetra,Ajmer,Executive,47421.00,2,53,38,71375.68
Amity University,Surat,Executive,51533.00,3,61,18,72477.67
BITS Pilani (Goa Campus),Hyderabad,Executive,36990.00,2,43,21,65008.02
"Cummins College of Engineering for Women, Pune",Hyderabad,Executive,56116.00,1,67,27,84698.85
NIT Sikkim,Asansol,Executive,62878.00,2,47,19,97088.21
LNMIIT,Rourkela,Executive,42736.00,3,64,29,60591.81
Punjab Engineering College,Surat,Executive,55608.00,1,78,42,70832.23
Amity University,Chennai,Executive,59842.00,4,46,60,71889.51
Jadavpur University,Pune,Executive,56444.00,3,45,31,73635.67
VNIT Nagpur,Bangalore,Executive,53316.00,1,48,60,70999.92
BIT Mesra,Bangalore,Executive,53856.00,2,75,22,66756.42
NSUT Delhi (NSIT),Kolhapur,Executive,54873.00,2,58,35,72489.65
NIT Jalandhar,Ajmer,Executive,68315.00,3,79,52,81832.10
BITS Pilani (Goa Campus),Asansol,Executive,52544.00,1,42,26,73939.42
IIT ISM Dhanbad,Kolhapur,Executive,57189.00,3,47,31,66790.50
"Jaypee, Noida",Ahmedabad,Manager,57695.00,2,55,33,96600.42
"BMS College, Bangalore",Pune,Executive,68011.00,2,70,18,53020.32
IGDTUW,Kolkata,Executive,64691.00,2,44,59,80588.67
NIT Jamshedpur,Durgapur,Manager,53910.00,3,75,56,90228.63
"BMS College, Bangalore",Ajmer,Executive,60907.00,2,57,45,79263.09
IIIT Lucknow,Rourkela,Executive,54327.00,2,64,60,88561.51
IIIT Delhi,Surat,Executive,46538.00,1,53,56,62424.16
VIT Vellore,Chennai,Executive,52796.00,2,79,40,65442.63
"KIIT, Bhubaneswar",Kozhikode,Executive,64231.00,1,75,35,66671.19
NIT Raipur,Kolhapur,Executive,59444.00,3,59,39,76341.13
NIT Sikkim,Kozhikode,Executive,49831.00,3,63,30,73782.54
NIT Raipur,Ahmedabad,Executive,45913.00,3,75,24,69436.17
MNIT Jaipur,Bangalore,Executive,52310.00,4,47,20,56862.74
NIT Kurukshetra,Chennai,Executive,69868.00,4,55,32,79427.58
VIT Vellore,Durgapur,Executive,60939.00,1,74,59,91681.45
NIT Calicut,Kolkata,Executive,57469.00,3,45,55,77103.63
"Dayanand College of Engineering, Bangalore",Rajpur Sonarpur,Executive,52571.00,3,72,57,66313.95
Amity University,Kolhapur,Executive,67425.00,1,59,56,82675.11
IIT Ropar,Asansol,Executive,59817.00,1,78,40,67427.14
NIT Jamshedpur,Rourkela,Executive,65657.00,3,83,49,76090.01
NIT Durgapur,Chennai,Manager,50292.00,1,49,42,85106.53
IIT ISM Dhanbad,Rajpur Sonarpur,Executive,60081.00,2,41,62,75901.99
IIT Delhi,Chennai,Executive,52897.00,4,49,56,82030.46
"Amrita University, Coimbatore",Durgapur,Executive,52642.00,1,84,19,63601.24
IIEST/BESU Shibpur,Kozhikode,Manager,50843.00,3,45,30,67351.02
"MSIT, Delhi",Rourkela,Executive,56192.00,2,50,60,81955.26
IIEST/BESU Shibpur,Rourkela,Executive,58100.00,4,67,56,67700.67
NIT Bhopal,Ajmer,Executive,47928.00,3,83,28,92828.33
TIET/Thapar University,Hyderabad,Executive,50000.00,4,37,18,64431.37
IIT Guwahati,Durgapur,Executive,59968.00,3,85,27,55221.36
BITS Pilani (Goa Campus),Rajpur Sonarpur,Executive,57102.00,3,49,18,66958.60
IIIT Hyderabad,Rourkela,Executive,51617.00,3,47,19,71871.01
"BMS College, Bangalore",Pune,Executive,57304.00,2,85,47,93477.17
MNIT Jaipur,Asansol,Manager,53736.00,4,45,54,79771.46
R.V. College of Engineering,Kolkata,Manager,51073.00,2,45,61,86575.65
IIIT Hyderabad,Rourkela,Manager,50138.00,3,70,24,95813.53
"USIT, Delhi",Surat,Executive,63654.00,2,56,25,75793.14
Manipal Main Campus,Asansol,Executive,57408.00,1,83,21,56636.90
"MAIT, Delhi",Delhi,Executive,55569.00,4,69,23,65668.72
NIT Surathkal (Karnataka),Ahmedabad,Executive,63988.00,2,79,63,80614.98
BITS Pilani (Pilani Campus),Delhi,Executive,61721.00,2,45,49,70220.52
NIT Patna,Hyderabad,Executive,59669.00,2,81,18,53921.11
VIT Vellore,Kozhikode,Executive,65851.00,2,60,51,75572.88
"Techno India, Kolkata",Kolhapur,Executive,62411.00,4,42,48,77207.70
IIT BHU (Varanasi),Durgapur,Executive,55412.00,1,68,31,60710.06
LNMIIT,Rajpur Sonarpur,Executive,43715.00,1,78,54,75143.25
"MSIT, Delhi",Chennai,Executive,54231.00,1,62,19,76382.82
IIT Kharagpur,Delhi,Manager,64433.00,3,46,44,111735.76
IIT Kanpur,Durgapur,Executive,55232.00,1,80,53,65540.32
NIT Rourkela,Delhi,Executive,61583.00,3,52,19,67531.15
VIT Vellore,Rourkela,Executive,46532.00,2,83,61,75598.32
"Cummins College of Engineering for Women, Pune",Hyderabad,Executive,53540.00,1,67,18,69264.00
"Cummins College of Engineering for Women, Pune",Durgapur,Executive,64566.00,3,81,61,89477.54
IIIT Jabalpur,Delhi,Manager,48681.00,4,81,21,82925.12
IIT Delhi,Surat,Executive,56554.00,1,74,20,76083.30
"Amrita University, Coimbatore",Rajpur Sonarpur,Executive,51206.00,3,53,31,68596.74
NIT Calicut,Bangalore,Executive,52435.00,1,55,45,74170.13
"BMS College, Bangalore",Rajpur Sonarpur,Executive,50155.00,4,39,44,59306.19
Amity University,Bangalore,Executive,64187.00,4,39,62,67432.59
IIT Indore,Pune,Manager,59413.00,1,82,29,95450.98
IIT Guwahati,Ahmedabad,Executive,46707.00,3,47,43,72730.05
NIT Sikkim,Kolhapur,Manager,47277.00,3,59,51,83631.77
NIT Rourkela,Kozhikode,Manager,58500.00,2,35,19,96401.16
NIT Patna,Rajpur Sonarpur,Executive,57730.00,3,77,38,64151.37
DTU,Asansol,Executive,51923.00,2,62,37,78114.29
IIT Ropar,Delhi,Executive,51612.00,2,37,22,60924.86
IIIT Jabalpur,Rajpur Sonarpur,Executive,43980.00,3,77,21,71338.39
NIT Surathkal (Karnataka),Bangalore,Executive,45394.00,4,60,24,65139.49
IIT Ropar,Surat,Executive,55176.00,4,35,57,69100.46
R.V. College of Engineering,Delhi,Executive,56245.00,2,45,56,86927.86
DAIICT,Chennai,Executive,59043.00,2,49,27,69219.33
"IEM, Kolkata",Chennai,Executive,48766.00,4,37,51,73707.10
"USIT, Delhi",Chennai,Executive,58626.00,4,61,19,76788.27
IIEST/BESU Shibpur,Asansol,Manager,52001.00,2,49,39,85600.10
SVNIT Surat,Rourkela,Executive,59352.00,4,43,58,85744.04
BIT Mesra,Chennai,Executive,64052.00,3,52,20,91330.57
Jalpaiguri Government Engineering College,Kolkata,Executive,57344.00,4,38,45,68928.96
Manipal Main Campus,Kozhikode,Executive,54246.00,1,64,35,71387.98
NIT Warangal,Bangalore,Executive,51942.00,3,44,31,66988.10
"PES University, Bangalore",Kolhapur,Executive,56726.00,2,58,50,92894.44
SRM Main Campus,Surat,Executive,67851.00,3,37,32,67278.35
"Jaypee, Noida",Kolkata,Executive,62959.00,3,49,51,79975.83
VNIT Nagpur,Asansol,Executive,60621.00,1,56,38,61501.14
IIIT Delhi,Ahmedabad,Manager,53839.00,4,67,42,100719.01
MNNIT Allahabad,Delhi,Executive,59229.00,3,85,18,61871.80
NIT Rourkela,Ahmedabad,Executive,54598.00,4,42,19,74819.09
NIT Tiruchipally (Trichy),Delhi,Executive,51247.00,4,73,51,71395.15
IIEST/BESU Shibpur,Rajpur Sonarpur,Executive,69245.00,1,46,46,76576.50
BITS Pilani (Goa Campus),Kolhapur,Executive,45520.00,2,75,18,59940.20
SVNIT Surat,Ajmer,Manager,65606.00,1,35,57,101280.17
IIT Ropar,Durgapur,Executive,59206.00,2,63,62,73927.15
"KIIT, Bhubaneswar",Ajmer,Executive,50418.00,4,84,59,82172.24
BITS Pilani (Pilani Campus),Kolhapur,Executive,62251.00,2,56,37,80040.49
IIIT Hyderabad,Rourkela,Executive,67078.00,3,62,64,81452.04
IIT BHU (Varanasi),Chennai,Executive,56981.00,1,35,38,68630.86
"BMS College, Bangalore",Delhi,Executive,64976.00,2,68,33,79118.64
"Jaypee, Noida",Asansol,Executive,59392.00,2,80,46,77197.29
NIT Rourkela,Kolhapur,Executive,52617.00,1,75,46,70505.65
Jalpaiguri Government Engineering College,Hyderabad,Executive,51484.00,3,51,53,87095.67
NSUT Delhi (NSIT),Bangalore,Executive,62724.00,1,81,34,61484.31
"PES University, Bangalore",Surat,Executive,57844.00,2,42,20,65493.39
MNIT Jaipur,Durgapur,Executive,58479.00,1,62,63,74974.14
NSUT Delhi (NSIT),Kolkata,Manager,73856.00,1,75,54,121362.73
NIT Silchar,Ajmer,Executive,60126.00,1,44,54,66575.29
Jadavpur University,Kolhapur,Manager,49947.00,2,56,49,85975.90
Manipal Main Campus,Kolhapur,Executive,63402.00,1,44,28,67244.50
IIT Madras,Hyderabad,Executive,66956.00,4,59,54,69163.02
DTU,Durgapur,Executive,50975.00,2,65,25,63470.60
BIT Mesra,Durgapur,Manager,70528.00,2,46,43,103308.60
IIIT Allahabad,Rourkela,Executive,58773.00,3,39,63,78733.50
MNNIT Allahabad,Kolkata,Executive,52160.00,3,40,32,59944.47
IIITM Gwalior,Asansol,Executive,46289.00,4,85,62,80727.84
Amity University,Rajpur Sonarpur,Executive,60421.00,1,65,52,69957.72
NIT Silchar,Kolhapur,Executive,65688.00,1,48,25,86779.90
MNIT Jaipur,Surat,Executive,44223.00,1,73,28,60276.99
"PES University, Bangalore",Pune,Executive,57888.00,1,79,46,69644.59
"Jaypee, Noida",Ahmedabad,Executive,61457.00,2,37,34,62905.33
Punjab Engineering College,Pune,Manager,55713.00,1,53,35,91461.53
IIT Delhi,Asansol,Executive,56519.00,1,64,19,68107.12
IIT Kanpur,Rourkela,Executive,46264.00,3,52,46,59944.19
VIT Vellore,Chennai,Executive,61984.00,1,55,54,73132.19
NIT Bhopal,Chennai,Executive,53585.00,4,83,27,66902.35
"BMS College, Bangalore",Hyderabad,Executive,69993.00,2,66,50,77519.72
"Jaypee, Noida",Kolkata,Executive,55083.00,4,78,18,64807.83
"BMS College, Bangalore",Bangalore,Executive,54624.00,3,40,19,64539.46
NIT Rourkela,Bangalore,Executive,69272.00,1,52,38,74082.97
NSUT Delhi (NSIT),Durgapur,Executive,54790.00,3,37,41,74176.38
IIT ISM Dhanbad,Durgapur,Executive,55440.00,1,48,49,64550.69
NIT Jalandhar,Rajpur Sonarpur,Manager,64558.00,3,47,48,99734.64
NIT Raipur,Surat,Executive,50385.00,4,67,31,70422.32
IIT Guwahati,Hyderabad,Executive,61828.00,3,42,18,68584.06
IIT ISM Dhanbad,Surat,Executive,71543.00,4,82,30,61366.78
NIT Silchar,Kozhikode,Executive,60757.00,3,48,62,85245.01
TIET/Thapar University,Asansol,Executive,64225.00,4,43,57,80470.64
IIT Madras,Ajmer,Executive,55470.00,3,36,58,68557.78
IIT Kharagpur,Asansol,Executive,47049.00,4,65,22,57010.86
TIET/Thapar University,Chennai,Manager,59101.00,3,56,31,113843.16
NIT Bhopal,Kolkata,Executive,55453.00,3,67,52,71105.71
"IEM, Kolkata",Asansol,Executive,44848.00,3,41,25,65897.67
Manipal Main Campus,Ajmer,Executive,48183.00,4,35,59,73716.85
BITS Pilani (Hyderabad Campus),Durgapur,Executive,52782.00,1,56,19,62989.38
Punjab Engineering College,Kozhikode,Executive,69431.00,1,49,39,66323.22
IIT Ropar,Kozhikode,Executive,51589.00,4,41,32,78048.35
Amity University,Durgapur,Executive,48860.00,4,67,19,65236.18
IIIT Hyderabad,Bangalore,Executive,50087.00,1,82,33,59009.52
IIT Kharagpur,Hyderabad,Executive,49047.00,3,40,21,74563.83
NIT Tiruchipally (Trichy),Surat,Manager,56231.00,1,74,34,92698.56
TIET/Thapar University,Chennai,Executive,61046.00,4,60,61,77981.88
"BMS College, Bangalore",Kolkata,Executive,57851.00,1,79,38,61211.79
"BMS College, Bangalore",Kozhikode,Executive,57087.00,4,57,58,78324.59
VIT Vellore,Delhi,Executive,48844.00,2,78,47,70576.11
IIIT Delhi,Durgapur,Executive,51214.00,2,54,20,59565.94
"Amrita University, Coimbatore",Rourkela,Manager,49750.00,4,70,21,65081.36
"KIIT, Bhubaneswar",Rourkela,Executive,68145.00,3,84,41,64093.96
"Jaypee, Noida",Kolkata,Executive,55675.00,1,46,46,76864.52
BITS Pilani (Goa Campus),Bangalore,Executive,53388.00,2,61,42,70286.85
NIT Bhopal,Kolhapur,Executive,57584.00,4,44,34,73572.32
SVNIT Surat,Bangalore,Executive,56087.00,3,85,43,74611.23
NIT Durgapur,Kolkata,Executive,65165.00,1,79,52,100742.29
IIT ISM Dhanbad,Kolhapur,Executive,61095.00,1,54,18,53472.60
"IEM, Kolkata",Durgapur,Executive,55522.00,3,38,51,79954.36
IIT ISM Dhanbad,Ajmer,Executive,54823.00,2,64,56,78933.39
IIT BHU (Varanasi),Durgapur,Executive,62830.00,4,51,64,83153.13
"MAIT, Delhi",Kolhapur,Manager,54550.00,1,53,19,73581.57
SVNIT Surat,Durgapur,Executive,54662.00,3,74,51,70751.48
IIT Delhi,Kolkata,Executive,49239.00,4,45,27,63459.16
"BMS College, Bangalore",Ajmer,Manager,53652.00,2,68,59,82182.86
NIT Warangal,Hyderabad,Executive,50659.00,3,63,28,77372.88
IIIT Allahabad,Durgapur,Manager,59169.00,4,51,30,95875.83
IIT ISM Dhanbad,Hyderabad,Executive,56043.00,1,44,47,62426.39
BIT Mesra,Chennai,Executive,59528.00,2,35,38,65621.21
"Dayanand College of Engineering, Bangalore",Durgapur,Executive,54324.00,2,74,18,65404.57
Jadavpur University,Asansol,Executive,40574.00,2,66,34,62314.99
TIET/Thapar University,Kolhapur,Executive,60511.00,4,56,20,55486.61
Jadavpur University,Rajpur Sonarpur,Manager,61626.00,3,42,47,102099.91
IIT Ropar,Bangalore,Executive,56704.00,4,73,56,77326.30
"KIIT, Bhubaneswar",Ajmer,Manager,55507.00,3,68,49,81770.13
VIT Vellore,Delhi,Manager,63071.00,2,60,19,95369.35
DTU,Durgapur,Executive,60356.00,4,51,55,77809.72
"MSIT, Delhi",Chennai,Executive,55650.00,4,75,30,62505.95
"USIT, Delhi",Ajmer,Manager,55291.00,3,56,37,102592.89
BITS Pilani (Goa Campus),Delhi,Executive,50234.00,3,42,49,75835.34
IIT Kanpur,Pune,Manager,57309.00,2,44,18,108840.13
NIT Warangal,Durgapur,Executive,49801.00,1,40,59,78467.44
NIT Warangal,Ajmer,Executive,53160.00,1,46,29,62498.78
SVNIT Surat,Rourkela,Executive,51698.00,1,67,36,82885.09
BITS Pilani (Goa Campus),Durgapur,Executive,69671.00,3,36,33,67675.99
NIT Tiruchipally (Trichy),Ajmer,Executive,62309.00,4,61,58,87098.07
NIT Silchar,Asansol,Manager,62634.00,1,56,44,99438.63
IIT Delhi,Delhi,Executive,64138.00,4,35,53,72864.74
NIT Surathkal (Karnataka),Rourkela,Executive,51339.00,3,75,24,72905.05
MNIT Jaipur,Surat,Executive,56337.00,3,78,29,69201.42
"Heritage Institute of Technology, Kolkata",Delhi,Executive,47655.00,2,80,40,76955.42
NIT Surathkal (Karnataka),Bangalore,Executive,63372.00,3,43,51,82767.25
VIT Vellore,Rourkela,Executive,63512.00,3,43,64,85418.25
Manipal Main Campus,Asansol,Executive,47893.00,1,53,19,66799.89
SRM Main Campus,Rourkela,Executive,63895.00,1,80,35,83672.86
IIT Madras,Rourkela,Manager,52623.00,1,47,39,80856.11
VIT Vellore,Kolkata,Executive,58616.00,4,38,56,70153.22
NIT Rourkela,Pune,Executive,65363.00,3,79,33,73418.48
"MSIT, Delhi",Bangalore,Manager,53149.00,1,71,42,84130.43
BITS Pilani (Hyderabad Campus),Delhi,Executive,56350.00,4,37,61,83817.75
"Jaypee, Noida",Ajmer,Executive,57901.00,4,82,23,70462.30
"Techno India, Kolkata",Kolkata,Executive,56632.00,2,46,43,85006.88
"Cummins College of Engineering for Women, Pune",Kolkata,Executive,53453.00,1,39,48,73023.46
Jalpaiguri Government Engineering College,Pune,Executive,53821.00,2,63,39,74467.30
"Techno India, Kolkata",Bangalore,Executive,45986.00,4,55,40,73401.83
"Amrita University, Coimbatore",Delhi,Executive,54357.00,3,54,18,77579.31
NIT Silchar,Durgapur,Executive,61409.00,3,77,58,78989.16
BIT Mesra,Asansol,Executive,66330.00,4,44,49,68736.41
IIEST/BESU Shibpur,Asansol,Executive,64649.00,3,47,53,79999.26
BIT Mesra,Surat,Executive,52136.00,4,77,48,63749.73
"MSIT, Delhi",Delhi,Executive,60103.00,3,74,45,74810.66
IIIT Allahabad,Rajpur Sonarpur,Executive,62521.00,1,70,59,77733.27
IIEST/BESU Shibpur,Asansol,Manager,49103.00,1,80,52,81128.88
"KIIT, Bhubaneswar",Asansol,Executive,71328.00,1,65,26,77695.83
IIT Kharagpur,Rourkela,Executive,58953.00,4,46,27,64535.00
BITS Pilani (Goa Campus),Kolhapur,Executive,59927.00,2,51,48,87640.58
NIT Calicut,Kozhikode,Executive,49840.00,3,37,57,69511.75
"KIIT, Bhubaneswar",Asansol,Executive,67431.00,3,46,37,66775.80
"MSIT, Delhi",Rourkela,Executive,45910.00,3,44,57,82368.08
IIT Kanpur,Kolhapur,Executive,51683.00,3,55,32,62070.15
NIT Surathkal (Karnataka),Hyderabad,Executive,54298.00,4,44,18,69619.85
"Jaypee, Noida",Kozhikode,Manager,49209.00,3,59,64,78320.21
NIT Durgapur,Durgapur,Manager,62631.00,2,68,43,105727.87
IIT Guwahati,Kolkata,Executive,55394.00,1,61,49,79057.81
IIITM Gwalior,Kolkata,Manager,57876.00,2,39,40,99227.71
IIT Delhi,Delhi,Manager,60476.00,1,85,62,113212.07
"MSIT, Delhi",Hyderabad,Executive,53787.00,2,42,40,66886.63
NSUT Delhi (NSIT),Surat,Executive,59116.00,1,81,30,63752.00
Amity University,Rourkela,Executive,53671.00,2,65,29,68221.29
NIT Raipur,Bangalore,Executive,55289.00,2,75,36,60479.67
IIT Madras,Kozhikode,Executive,52987.00,1,52,41,68586.40
"Jaypee, Noida",Delhi,Manager,71473.00,4,84,44,92655.28
BITS Pilani (Goa Campus),Ajmer,Executive,45893.00,3,70,45,66715.60
NIT Bhopal,Delhi,Executive,63091.00,3,68,55,77143.39
IIT Kharagpur,Kolhapur,Manager,56830.00,1,84,60,108471.68
"KIIT, Bhubaneswar",Asansol,Executive,64221.00,1,55,56,91904.17
IIT Guwahati,Durgapur,Executive,50761.00,2,62,49,72795.44
"Amrita University, Coimbatore",Surat,Executive,44663.00,1,61,21,67584.07
SVNIT Surat,Durgapur,Executive,47451.00,1,44,19,64086.37
"MAIT, Delhi",Rourkela,Manager,60917.00,3,69,39,101886.28
R.V. College of Engineering,Kolhapur,Executive,47576.00,4,68,53,66654.11
IIIT Hyderabad,Chennai,Executive,40632.00,2,61,33,71017.54
IIT Madras,Kolhapur,Executive,53942.00,1,44,53,79333.46
"KIIT, Bhubaneswar",Ahmedabad,Executive,50105.00,4,74,42,76594.04
NIT Warangal,Rajpur Sonarpur,Executive,63562.00,3,41,40,79720.02
Amity University,Durgapur,Executive,49275.00,3,38,47,84809.17
SRM Main Campus,Durgapur,Manager,52857.00,2,49,27,87581.33
Jadavpur University,Delhi,Executive,52889.00,2,80,21,61991.12
Jadavpur University,Kolhapur,Executive,63893.00,3,73,47,79299.74
MNNIT Allahabad,Rajpur Sonarpur,Executive,58001.00,1,82,20,63021.18
NIT Patna,Pune,Executive,48539.00,2,59,24,62387.28
"USIT, Delhi",Ajmer,Executive,62261.00,4,39,27,59214.25
Jalpaiguri Government Engineering College,Ajmer,Executive,66242.00,2,81,26,62441.32
"PES University, Bangalore",Rajpur Sonarpur,Executive,61262.00,2,82,53,91266.27
IIT Madras,Durgapur,Manager,61930.00,1,76,41,96932.92
Amity University,Ahmedabad,Executive,58204.00,2,82,56,69392.13
"Heritage Institute of Technology, Kolkata",Kozhikode,Executive,66907.00,3,64,23,70599.91
IIITM Gwalior,Durgapur,Executive,60810.00,4,57,21,62927.79
DAIICT,Kozhikode,Executive,71549.00,4,47,50,83116.21
R.V. College of Engineering,Asansol,Executive,63687.00,3,65,53,79063.48
"PES University, Bangalore",Kolhapur,Executive,55575.00,2,76,34,66913.22
IIIT Allahabad,Rourkela,Executive,51340.00,3,53,47,62978.36
IIIT Jabalpur,Delhi,Executive,55989.00,1,61,33,73230.00
MNNIT Allahabad,Pune,Manager,61656.00,3,51,51,92299.77
"MSIT, Delhi",Kozhikode,Executive,53303.00,2,57,49,71335.91
Amity University,Chennai,Executive,52308.00,4,46,31,75515.45
TIET/Thapar University,Hyderabad,Executive,50961.00,2,74,36,67015.80
"KIIT, Bhubaneswar",Rajpur Sonarpur,Executive,64693.00,4,64,18,57202.89
TIET/Thapar University,Surat,Executive,53444.00,3,49,50,73486.99
NSUT Delhi (NSIT),Ahmedabad,Executive,50977.00,2,39,43,69543.95
NIT Warangal,Chennai,Executive,64679.00,3,84,20,71605.72
"KIIT, Bhubaneswar",Surat,Executive,46192.00,1,45,24,61873.12
IIT Delhi,Hyderabad,Executive,51157.00,1,74,60,86136.48
VIT Vellore,Kozhikode,Executive,50975.00,1,84,49,71254.94
Amity University,Delhi,Executive,44522.00,4,75,60,73051.32
IIIT Allahabad,Asansol,Executive,66466.00,4,82,51,67802.33
NIT Warangal,Delhi,Executive,57809.00,4,73,58,75308.28
"Techno India, Kolkata",Kolhapur,Executive,64865.00,3,37,51,68233.58
"IEM, Kolkata",Durgapur,Executive,64419.00,3,54,53,76205.05
BITS Pilani (Pilani Campus),Pune,Executive,61665.00,4,85,62,77770.17
Jadavpur University,Bangalore,Executive,58401.00,4,48,19,65546.96
NIT Warangal,Kolhapur,Executive,56452.00,3,58,50,79834.42
"Jaypee, Noida",Kozhikode,Manager,59079.00,4,83,30,89784.95
IGDTUW,Asansol,Executive,57178.00,1,49,41,62471.09
"Jaypee, Noida",Bangalore,Manager,43154.00,1,41,29,73960.70
TIET/Thapar University,Ahmedabad,Executive,66113.00,4,78,18,62118.85
NIT Surathkal (Karnataka),Ahmedabad,Executive,61367.00,4,53,41,68783.96
NIT Kurukshetra,Chennai,Manager,50269.00,3,59,35,74956.52
NIT Silchar,Durgapur,Executive,49579.00,3,68,53,75501.92
"Amrita University, Coimbatore",Rajpur Sonarpur,Executive,59535.00,1,74,24,66900.02
MNNIT Allahabad,Bangalore,Executive,50357.00,2,42,48,67920.60
Punjab Engineering College,Chennai,Executive,59413.00,1,66,59,84043.43
NIT Calicut,Chennai,Executive,62127.00,4,65,49,68574.13
"PES University, Bangalore",Rajpur Sonarpur,Manager,64762.00,1,63,37,89205.84
Manipal Main Campus,Surat,Executive,49361.00,3,82,26,77401.56
NIT Silchar,Rajpur Sonarpur,Manager,61256.00,2,65,23,107835.84
SRM Main Campus,Surat,Manager,63258.00,2,57,29,110711.65
MNNIT Allahabad,Kolkata,Executive,52271.00,3,77,45,76233.83
IIT Madras,Chennai,Manager,59081.00,3,62,27,65293.58
"Techno India, Kolkata",Kozhikode,Manager,63947.00,4,50,53,104204.57
"KIIT, Bhubaneswar",Rajpur Sonarpur,Executive,47765.00,3,64,31,67385.21
"BMS College, Bangalore",Durgapur,Executive,56001.00,3,46,50,65581.33
MNNIT Allahabad,Hyderabad,Executive,53097.00,4,75,50,59911.02
SRM Main Campus,Ahmedabad,Executive,55213.00,2,55,34,82878.09
IIITM Gwalior,Bangalore,Executive,46248.00,4,38,19,57703.78
"MSIT, Delhi",Kolhapur,Executive,64931.00,4,70,47,73093.09
NIT Raipur,Kozhikode,Executive,52432.00,2,57,28,64475.07
TIET/Thapar University,Rajpur Sonarpur,Manager,46681.00,1,64,37,69477.90
VIT Vellore,Pune,Executive,53992.00,3,72,21,63291.77
DTU,Kozhikode,Executive,61431.00,4,45,64,82384.89
IIT Guwahati,Rourkela,Executive,43343.00,4,80,58,70164.12
BITS Pilani (Pilani Campus),Kolkata,Executive,55168.00,3,82,24,78091.05
NIT Jamshedpur,Surat,Executive,57128.00,4,77,31,79414.18
MNNIT Allahabad,Delhi,Executive,49004.00,2,73,39,75738.92
Manipal Main Campus,Rajpur Sonarpur,Manager,55294.00,3,68,47,74594.62
